基準日,人口,男女,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳以上
2019-10-01,総人口,男,2154,2414,2478,2547,2497,2406,2426,2361,2290,2266,2172,2099,2160,1987,2000,1983,1944,1957,1942,2038,2143,2071,2344,2723,2990,3190,3229,3324,3252,3279,3414,3567,3649,3684,3972,4114,4340,4333,4247,4171,4256,4415,4538,4641,4771,4955,5140,5005,4848,4726,4621,4418,4247,3452,3888,3561,3155,3090,2756,2712,2588,2622,2357,2347,2427,2416,2550,2688,2864,3052,3363,3411,3153,1819,1910,2308,2291,2149,2127,1853,1441,1450,1377,1269,1148,958,821,685,491,388,324,234,192,152,103,69,41,37,30,9,6,8,4,0,1,1
2019-10-01,総人口,女,2150,2277,2327,2408,2351,2312,2301,2268,2043,2175,2123,2044,2033,1878,1903,1828,1800,1828,1801,1967,2033,2121,2283,2676,2967,3050,3037,3107,3163,3379,3513,3608,3788,3780,3978,4109,4146,4111,4170,4182,4325,4318,4467,4363,4790,4880,5062,4885,4759,4577,4322,4095,3909,3062,3521,3253,2988,2784,2728,2613,2538,2457,2425,2509,2499,2573,2649,2765,2892,3300,3529,3752,3448,2062,2243,2847,2790,2849,2662,2469,1996,2089,2029,1953,1920,1565,1453,1242,1120,924,824,658,554,466,366,279,210,162,125,80,41,34,22,11,2,6
2019-11-01,総人口,男,2131,2428,2440,2550,2497,2404,2460,2333,2282,2301,2176,2095,2174,1993,1991,2010,1930,1958,1943,2049,2110,2111,2338,2709,3000,3159,3234,3373,3233,3343,3362,3604,3658,3667,3917,4129,4327,4325,4264,4185,4243,4378,4566,4602,4773,4922,5144,5030,4881,4737,4593,4438,4349,3332,3988,3573,3174,3102,2778,2711,2596,2628,2307,2402,2416,2428,2528,2685,2816,3002,3380,3385,3192,1927,1844,2290,2284,2131,2145,1879,1455,1431,1392,1260,1175,946,817,698,492,393,316,234,191,153,104,71,42,35,31,11,5,8,4,1,1,1
2019-11-01,総人口,女,2119,2271,2365,2391,2365,2314,2300,2235,2057,2193,2099,2081,2030,1887,1889,1850,1799,1826,1827,1982,2024,2093,2269,2722,2949,3076,3069,3091,3216,3327,3542,3619,3775,3760,3984,4120,4127,4185,4187,4117,4355,4280,4472,4430,4675,4900,5070,4923,4778,4585,4269,4140,3990,3013,3576,3277,2981,2828,2747,2584,2514,2495,2417,2483,2517,2563,2638,2766,2874,3239,3538,3686,3531,2160,2190,2768,2839,2842,2693,2474,2001,2056,2057,1935,1929,1580,1468,1248,1121,921,826,662,561,470,370,280,200,172,126,80,43,32,25,8,3,6
2019-12-01,総人口,男,2147,2384,2443,2574,2490,2379,2467,2352,2279,2288,2195,2080,2182,2042,1970,2006,1953,1943,1915,2062,2093,2141,2273,2746,2975,3198,3211,3411,3219,3339,3388,3617,3605,3691,3940,4117,4287,4304,4277,4138,4280,4391,4561,4594,4768,4879,5162,4994,4912,4738,4620,4457,4432,3266,4032,3596,3180,3124,2775,2725,2583,2663,2290,2396,2412,2430,2515,2676,2797,2980,3356,3371,3257,2008,1802,2225,2306,2128,2136,1899,1482,1394,1439,1238,1188,964,815,704,487,404,318,239,190,150,105,69,44,38,30,13,5,7,4,1,1,0
2019-12-01,総人口,女,2133,2284,2352,2384,2371,2326,2320,2205,2124,2156,2093,2088,2028,1919,1863,1885,1776,1829,1837,1984,2021,2057,2263,2740,2907,3078,3130,3097,3235,3346,3532,3642,3749,3755,3968,4151,4081,4212,4208,4116,4328,4303,4460,4422,4627,4931,5083,4951,4757,4606,4273,4182,4014,2997,3587,3316,2972,2871,2750,2589,2478,2540,2424,2498,2487,2546,2638,2733,2860,3185,3579,3647,3580,2254,2140,2696,2905,2767,2720,2481,2074,1978,2104,1910,1954,1594,1466,1287,1123,923,823,659,567,478,359,283,201,159,136,79,49,31,25,8,4,5
2020-01-01,総人口,男,2136,2375,2431,2579,2489,2372,2442,2368,2289,2299,2184,2067,2205,2061,1972,2000,1941,1941,1919,2090,2091,2157,2197,2730,2983,3166,3242,3414,3203,3330,3368,3627,3572,3688,3949,4135,4227,4375,4295,4060,4338,4349,4567,4596,4747,4835,5105,5075,4904,4754,4604,4510,4424,3285,4072,3580,3201,3125,2802,2730,2576,2643,2336,2377,2376,2449,2499,2631,2784,2969,3296,3383,3317,2107,1759,2177,2304,2143,2151,1924,1517,1351,1445,1221,1227,949,811,721,504,399,320,238,188,151,110,67,48,38,30,14,6,7,4,1,1,0
2020-01-01,総人口,女,2104,2282,2346,2376,2362,2334,2313,2247,2115,2134,2099,2081,2042,1938,1844,1909,1779,1825,1833,1978,2003,2065,2214,2749,2906,3120,3094,3131,3272,3268,3538,3673,3725,3728,3956,4128,4067,4241,4171,4084,4350,4333,4430,4389,4600,4932,5055,4999,4704,4660,4262,4311,3987,3005,3586,3344,2972,2886,2733,2614,2467,2542,2438,2491,2464,2536,2661,2709,2825,3161,3579,3611,3674,2353,2074,2606,2979,2709,2771,2472,2124,1935,2127,1899,1950,1606,1463,1285,1149,900,838,683,556,479,369,285,199,156,138,76,57,29,26,8,4,5
2020-02-01,総人口,男,2135,2345,2457,2541,2485,2401,2448,2354,2315,2275,2218,2066,2214,2079,1953,2001,1970,1906,1937,2078,2053,2195,2163,2716,2959,3171,3224,3451,3239,3362,3365,3642,3560,3680,3945,4167,4198,4376,4291,4054,4330,4373,4565,4580,4702,4815,5117,5060,4892,4778,4603,4496,4416,3430,3998,3629,3202,3144,2806,2744,2555,2644,2371,2370,2365,2455,2481,2610,2757,2944,3230,3367,3396,2204,1755,2098,2305,2139,2147,1915,1550,1346,1452,1215,1247,966,810,736,515,399,320,234,187,158,111,61,51,37,30,15,7,6,5,1,1,0
2020-02-01,総人口,女,2107,2274,2332,2368,2390,2345,2303,2231,2134,2115,2125,2102,2024,1931,1835,1928,1782,1822,1832,2001,1982,2057,2153,2769,2903,3179,3052,3148,3261,3291,3508,3696,3691,3738,3929,4115,4079,4222,4168,4069,4343,4362,4418,4386,4574,4915,5039,5023,4680,4712,4255,4393,3932,3100,3570,3355,2971,2874,2752,2628,2454,2571,2415,2484,2431,2533,2647,2692,2815,3148,3540,3543,3754,2478,2024,2541,2976,2670,2792,2490,2128,1938,2149,1897,1971,1625,1443,1334,1127,913,855,687,564,470,368,289,217,161,129,83,58,30,29,9,4,5
2020-03-01,総人口,男,2162,2335,2440,2523,2467,2443,2438,2343,2334,2266,2218,2081,2180,2105,1944,2009,1977,1929,1935,2085,2038,2203,2121,2740,2934,3148,3273,3440,3246,3376,3338,3676,3531,3674,3955,4190,4161,4351,4287,4069,4326,4365,4545,4586,4690,4795,5084,5081,4900,4784,4608,4528,4341,3546,3946,3667,3237,3123,2845,2753,2573,2624,2392,2379,2321,2455,2459,2606,2734,2933,3184,3339,3445,2344,1713,2011,2335,2157,2126,1908,1622,1329,1449,1236,1235,1010,787,738,537,394,317,251,189,152,122,62,50,35,30,20,7,6,5,1,1,0
2020-03-01,総人口,女,2074,2274,2333,2360,2408,2364,2293,2241,2135,2125,2105,2120,2018,1957,1830,1924,1803,1807,1833,1992,1972,2043,2187,2749,2890,3189,3077,3179,3239,3316,3491,3674,3702,3764,3918,4090,4126,4204,4179,4051,4353,4336,4427,4352,4564,4935,4993,5046,4694,4719,4282,4392,3935,3202,3520,3342,3011,2866,2779,2611,2467,2569,2416,2467,2452,2519,2646,2645,2825,3079,3528,3526,3829,2568,1979,2492,3004,2619,2837,2486,2172,1899,2153,1883,1989,1647,1437,1358,1108,965,856,692,565,468,374,291,212,168,124,92,57,31,29,10,4,5
2020-04-01,総人口,男,2172,2345,2465,2545,2465,2478,2429,2355,2338,2279,2193,2117,2151,2146,1958,1975,1987,1934,1994,2071,2087,2174,2383,2846,3047,3247,3297,3434,3311,3358,3426,3662,3535,3741,3945,4220,4190,4387,4279,4126,4295,4373,4544,4576,4675,4804,5044,5122,4884,4770,4608,4546,4302,3676,3853,3714,3253,3139,2876,2736,2608,2598,2427,2343,2338,2452,2434,2581,2695,2943,3176,3293,3504,2422,1702,1994,2297,2138,2174,1902,1655,1319,1440,1237,1233,1009,817,747,540,395,310,264,193,146,136,68,47,33,32,20,8,4,6,2,0,0
2020-04-01,総人口,女,2111,2312,2336,2376,2427,2377,2264,2263,2146,2096,2119,2131,2023,1969,1823,1945,1820,1782,1869,1969,2085,2081,2531,2873,2932,3272,3128,3196,3251,3342,3510,3754,3680,3810,3947,4148,4145,4243,4153,4096,4359,4330,4455,4330,4552,4945,4940,5044,4737,4703,4331,4405,3969,3308,3432,3378,3039,2869,2797,2605,2495,2576,2419,2474,2425,2533,2633,2629,2837,3027,3514,3464,3843,2758,1922,2429,3012,2627,2844,2484,2214,1860,2173,1858,1974,1697,1435,1316,1156,985,851,700,578,455,398,293,216,166,138,88,63,29,29,9,4,5
2020-05-01,総人口,男,2237,2343,2454,2548,2506,2480,2398,2413,2345,2251,2249,2125,2142,2143,1966,1962,2011,1924,2005,2097,2053,2186,2444,2855,3112,3266,3306,3449,3372,3442,3426,3727,3578,3801,3968,4226,4235,4378,4322,4207,4230,4404,4563,4539,4687,4763,5045,5156,4895,4761,4632,4598,4286,3817,3740,3737,3282,3152,2887,2723,2653,2612,2434,2328,2329,2468,2409,2571,2698,2918,3159,3273,3527,2543,1667,1972,2288,2136,2149,1921,1679,1317,1440,1233,1223,1019,809,764,536,403,306,264,194,145,139,67,52,30,32,22,6,6,6,2,0,0
2020-05-01,総人口,女,2140,2305,2348,2383,2418,2393,2270,2272,2165,2093,2150,2102,2052,1959,1846,1923,1845,1769,1895,1960,2050,2075,2597,2891,2943,3296,3182,3215,3318,3380,3510,3800,3684,3885,3988,4166,4172,4284,4134,4120,4355,4360,4391,4371,4516,4971,4915,5061,4746,4712,4409,4378,4006,3377,3382,3404,3080,2901,2736,2665,2498,2597,2423,2458,2439,2542,2579,2622,2828,2978,3511,3477,3829,2903,1883,2386,2979,2643,2846,2479,2271,1869,2137,1877,1953,1718,1457,1311,1156,984,832,733,575,457,406,286,218,166,131,88,60,32,29,10,2,7
